spotify ranking,number of total streams,name of song
285,"80,582,410",The Way I Loved You
286,"80,145,673",September - Recorded at The Tracking Room Nashville
287,"79,924,468",Untouchable (Taylor’s Version)
288,"79,259,812",Safe & Sound (feat. Joy Williams and John Paul White) (Taylor’s Version)
289,"78,587,147",Ours (Taylor’s Version)
290,"76,973,959",Ours
291,"75,232,049",Girl At Home (Taylor's Version)
292,"73,737,675",Breathe
293,"73,650,966",Jump Then Fall (Taylor’s Version)
294,"73,613,751",We Were Happy (Taylor’s Version) (From The Vault)
295,"72,436,817",Tell Me Why (Taylor’s Version)
296,"71,694,676",The Last Time
297,"70,016,006",Today Was A Fairytale (Taylor’s Version)
298,"69,153,347",State Of Grace (Acoustic Version) (Taylor's Version)
299,"69,021,984",Bye Bye Baby (Taylor’s Version) (From The Vault)
300,"68,497,150",All Too Well (Sad Girl Autumn Version) - Recorded at Long Pond Studios
301,"68,213,729",The Best Day (Taylor’s Version)
302,"66,573,851",State Of Grace
303,"66,524,334",Forever & Always (Piano Version) (Taylor’s Version)
304,"66,217,480",I Almost Do
305,"65,184,939",I'm Only Me When I'm With You
306,"64,565,092",Innocent (Taylor's Version)
307,"61,759,724",Stay Stay Stay
308,"60,739,857",Mary's Song (Oh My My My)
309,"59,850,700",exile (feat. Bon Iver) - the long pond studio sessions
310,"59,428,228",Treacherous
311,"59,053,948",Forever & Always
312,"58,898,752",Holy Ground
313,"56,790,811",Change (Taylor’s Version)
314,"56,233,734",Innocent
315,"56,047,538",Ronan (Taylor's Version)
316,"55,928,948",Mine - POP Mix
317,"55,925,957",Cold As You
318,"55,231,793",Superman (Taylor’s Version)
319,"54,964,168",the lakes - original version
320,"54,477,370",A Place in this World
321,"54,353,444",Hey Stephen
322,"52,118,493",Eyes Open
323,"51,933,339",Come In With The Rain (Taylor’s Version)
324,"51,301,522",The Story Of Us
325,"50,877,212",Delicate - Seeb Remix
326,"50,280,925",You're Not Sorry
327,"50,077,546",Delicate - Recorded at The Tracking Room Nashville
328,"49,406,388",Eyes Open (Taylor's Version)
329,"48,123,236",If This Was A Movie
330,"47,195,868",The Lucky One
331,"46,997,221",Starlight
332,"46,717,413",Superstar (Taylor’s Version)
333,"46,078,914",cardigan - cabin in candlelight version
334,"45,934,566",Come Back...Be Here
335,"45,044,613",Stay Beautiful
336,"44,663,940",The Best Day
337,"44,593,447",Teardrops on My Guitar - Pop Version
338,"44,427,603",Invisible
339,"44,368,126",Death By A Thousand Cuts - Live From Paris
340,"43,451,343",Tied Together with a Smile
341,"42,925,429",Sad Beautiful Tragic
342,"42,663,284",willow - dancing witch version (Elvira remix)
343,"41,625,031",Cruel Summer - LP Giobbi Remix
344,"39,992,606",The Outside
345,"39,403,599",Love Story (Taylor's Version) - Elvira Remix
346,"38,835,665",Last Christmas
347,"38,575,458",Anti-Hero - Kungs Remix
348,"37,350,087",Fortnight (feat. Post Malone) - BLOND:ISH Remix
349,"36,876,480",Anti-Hero - Acoustic Version
350,"35,224,939",Cruel Summer - Live from TS | The Eras Tour
351,"34,643,962",Tell Me Why
352,"34,478,847",Today Was A Fairytale - US Version
353,"33,860,549",The Moment I Knew
354,"33,526,562",A Perfectly Good Heart
355,"33,395,180",Daylight - Live From Paris
356,"32,852,137",Lavender Haze - Acoustic Version
357,"31,853,920",cardigan - the long pond studio sessions
358,"29,897,452",Change
359,"29,650,964",my tears ricochet - the long pond studio sessions
360,"29,380,512",Forever & Always - Piano Version
361,"29,247,862",Lover - First Dance Remix
362,"28,964,211",...Ready For It? - BloodPop® Remix
363,"28,467,566",Lavender Haze - Felix Jaehn Remix
364,"28,136,695",Jump Then Fall
365,"27,745,732",Superman
366,"27,413,917",Haunted - Acoustic Version
367,"27,294,286",august - the long pond studio sessions
368,"27,160,265",this is me trying - the long pond studio sessions
369,"25,988,499",Anti-Hero (feat. Bleachers)
370,"25,568,666",Untouchable
371,"25,366,476",State Of Grace - Acoustic
372,"24,900,831",Girl At Home
373,"24,533,211","Sweeter Than Fiction - From ""One Chance"" Soundtrack"
374,"23,952,825",Message In A Bottle (Fat Max G Remix) (Taylor’s Version)
375,"23,487,796",The Man - Live From Paris
376,"23,364,969",the 1 - the long pond studio sessions
377,"23,008,825",* Renegade - Pop Version
378,"22,001,764",mirrorball - the long pond studio sessions
379,"20,262,172",illicit affairs - the long pond studio sessions
380,"20,146,087",the lakes - the long pond studio sessions
381,"20,060,487",Anti-Hero - ILLENIUM Remix
382,"19,934,945","Beautiful Ghosts - From The Motion Picture Soundtrack ""Cats"""
383,"19,061,137",willow - lonely witch version
384,"18,853,022",Red - Original Demo Recording
385,"18,714,368",Come In With The Rain
386,"18,618,156",Fortnight (feat. Post Malone) - Acoustic Version
387,"18,511,106",* Birch
388,"18,084,079",You Need To Calm Down - Clean Bandit Remix
389,"17,810,054",Lavender Haze - Snakehips Remix
390,"17,691,001",Treacherous - Original Demo Recording
391,"17,679,575",the last great american dynasty - the long pond studio sessions
392,"17,323,559",The Other Side Of The Door
393,"17,216,321",seven - the long pond studio sessions
394,"16,523,005",invisible string - the long pond studio sessions
395,"16,385,212",All Too Well (10 Minute Version) (The Short Film)
396,"16,108,928",betty - the long pond studio sessions
397,"15,672,593",hoax - the long pond studio sessions
398,"15,551,336",Wildest Dreams - R3hab Remix
399,"15,514,784",willow - 90's trend remix
400,"15,400,607",SuperStar
401,"15,009,519",Santa Baby
402,"14,822,334",* Should've Said No - The 3D Concert Experience
403,"14,595,333",The Archer - Live From Paris
404,"14,315,734",Teardrops On My Guitar
405,"14,313,307",Back To December/Apologize/You're Not Sorry - Live/2011/Medley
406,"14,205,795",Drops Of Jupiter - Live/2011
407,"14,116,320",peace - the long pond studio sessions
408,"13,942,751",mad woman - the long pond studio sessions
409,"13,332,678",Lover - Live From Paris
410,"13,208,332",Christmas Tree Farm - Old Timey Version
411,"12,857,934",epiphany - the long pond studio sessions
412,"11,539,071","Carolina - ""Where The Crawdads Sing"" - Video Edition"
413,"11,165,763",Love Story - Digital Dog Remix
414,"11,092,683",betty - Live from the 2020 Academy of Country Music Awards
415,"10,386,174",willow - moonlit witch version
416,"10,359,402",Christmases When You Were Mine
417,"10,055,759",Sparks Fly - Live/2011
418,"9,677,088",Bette Davis Eyes - Live/2011
419,"9,538,433",You Need To Calm Down - Live From Paris
420,"9,337,981",Anti-Hero - Jayda G Remix
421,"9,329,750",ME! - Live From Paris
422,"8,889,143",Enchanted - Live/2011
423,"8,665,130",Christmas Must Be Something More
424,"8,440,616",Delicate - Sawyr And Ryan Tedder Mix
425,"7,938,614",The Story Of Us - Live
426,"7,764,863",Mine - Live/2011
427,"7,745,457",I Want You Back - Live/2011
428,"7,739,388",Mean - Live/2011
429,"7,706,625",White Christmas
430,"7,586,319",Better Than Revenge - Live/2011
431,"7,500,338",Long Live
432,"7,474,136",Dear John - Live/2011
433,"7,473,378",Ronan
434,"7,387,192",Silent Night
435,"7,292,051",Long Live - Live/2011
436,"7,255,978",Ours - Live/2011
437,"7,206,072",I Can Do It With a Broken Heart - Dombresky Remix
438,"7,118,662",The Fate of Ophelia - Alone In My Tower Acoustic Version
439,"7,101,100",Haunted - Live/2011
440,"6,871,949",Last Kiss - Live/2011
441,"6,818,888",Speak Now - Live/2011
442,"6,578,834",* Big Star (with Taylor Swift) - Live
443,"6,315,382",I Know Places - Voice Memo
444,"6,089,666",Our Song
445,"5,137,335",Blank Space - Voice Memo
446,"4,861,296",I Can Do It With a Broken Heart - Instrumental
447,"4,841,425",I Wish You Would - Voice Memo
448,"4,565,378",Love Story - Pop Mix
449,"4,367,877",Lavender Haze - Tensnake Remix
